Chapter,Rule,Grade Level Indicated,Subject
110,6,Grade 4,ENGLISH LANGUAGE ARTS AND READING
110,7,Grade 5,ENGLISH LANGUAGE ARTS AND READING
110,22,Grade 6,ENGLISH LANGUAGE ARTS AND READING
110,23,Grade 7,ENGLISH LANGUAGE ARTS AND READING
110,24,Grade 8,ENGLISH LANGUAGE ARTS AND READING
111,6,Grade 4,MATHEMATICS
111,7,Grade 5,MATHEMATICS
111,26,Grade 6,MATHEMATICS
111,27,Grade 7,MATHEMATICS
111,28,Grade 8,MATHEMATICS
112,15,Grade 4,SCIENCE
112,16,Grade 5,SCIENCE
112,18,Grade 6,SCIENCE
112,19,Grade 7,SCIENCE
112,20,Grade 8,SCIENCE
113,15,Grade 4,SOCIAL STUDIES
113,16,Grade 5,SOCIAL STUDIES
113,18,Grade 6,SOCIAL STUDIES
113,19,Grade 7,SOCIAL STUDIES
113,20,Grade 8,SOCIAL STUDIES
115,6,Grade 4,HEALTH EDUCATION
115,7,Grade 5,HEALTH EDUCATION
115,22,Grade 6,HEALTH EDUCATION
115,23,Grade 7,HEALTH EDUCATION
115,23,Grade 8,HEALTH EDUCATION
116,6,Grade 4,PHYSICAL EDUCATION
116,7,Grade 5,PHYSICAL EDUCATION
116,22,Grade 6,PHYSICAL EDUCATION
116,23,Grade 7,PHYSICAL EDUCATION
116,24,Grade 8,PHYSICAL EDUCATION
117,114,Grade 4,ART
117,117,Grade 5,ART
117,202,Grade 6,ART
117,203,Grade 7,ART
117,204,Grade 8,ART
117,115,Grade 4,MUSIC
117,118,Grade 5,MUSIC
117,208,Grade 6,MUSIC
117,209,Grade 7,MUSIC
117,210,Grade 8,MUSIC
117,116,Grade 4,THEATRE
117,119,Grade 5,THEATRE
117,211,Grade 6,THEATRE
117,212,Grade 7,THEATRE
117,213,Grade 8,THEATRE
117,205,Grade 6,DANCE
117,206,Grade 7,DANCE
117,207,Grade 8,DANCE
120,5,Grade 4,CHARACTER TRAITS
120,5,Grade 5,CHARACTER TRAITS
120,7,Grade 6,CHARACTER TRAITS
120,7,Grade 7,CHARACTER TRAITS
120,7,Grade 8,CHARACTER TRAITS
126,7,Grade 4,TECHNOLOGY APPLICATIONS
126,7,Grade 5,TECHNOLOGY APPLICATIONS
126,14,Grade 6,TECHNOLOGY APPLICATIONS
126,15,Grade 7,TECHNOLOGY APPLICATIONS
126,16,Grade 8,TECHNOLOGY APPLICATIONS
127,2,Grade 6,INVESTIGATING CAREERS
127,2,Grade 7,INVESTIGATING CAREERS
127,2,Grade 8,INVESTIGATING CAREERS
127,3,Grade 6,COLLEGE AND CAREER READINESS
127,3,Grade 7,COLLEGE AND CAREER READINESS
127,3,Grade 8,COLLEGE AND CAREER READINESS
128,6,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
128,7,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
128,21,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
128,22,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
128,23,Grade 8,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE